	Viewed	Search type	Result type
(20339, 27)	Viewed	Part	Results
(12506, 7)	Viewed	Part	Saved
(28430, 3)	Viewed	Part	Results
(45580, 14)	Viewed	Keyword	Saved
(15650, 6)	Viewed	Part	Results
(2457, 16)	Viewed	Workspace	Results
(46777, 24)	Viewed	Workspace	Results
(11032, 2)	Viewed	Workspace	Saved
(22409, 3)	Viewed	Keyword	Results
(5871, 2)	Viewed	Keyword	Results
(12238, 3)	Viewed	Keyword	Saved
(5011, 1)	Viewed	Keyword	Saved
(10888, 47)	Viewed	Workspace	Results
(48438, 9)	Viewed	Part	Results
(13323, 4)	Viewed	Workspace	Results
(25493, 40)	Viewed	Part	Results
(29835, 11)	Viewed	Workspace	Results
(23231, 3)	Viewed	Part	Results
(6243, 2)	Viewed	Keyword	Results
(12190, 7)	Viewed	Keyword	Saved
(11701, 2)	Viewed	Part	Saved
(10887, 3)	Viewed	Keyword	Results
(19193, 4)	Viewed	Part	Results
(45353, 28)	Viewed	Keyword	Results
(44250, 4)	Viewed	Workspace	Results
(10893, 2)	Viewed	Workspace	Results
(16841, 12)	Viewed	Keyword	Results
(5348, 2)	Viewed	Keyword	Results
(16009, 7)	Viewed	Part	Results
(44571, 2)	Viewed	Workspace	Results
(19648, 4)	Viewed	Workspace	Results
(10837, 6)	Viewed	Keyword	Results
(12316, 33)	Viewed	Keyword	Results
(14405, 6)	Viewed	Workspace	Results
(47507, 11)	Viewed	Keyword	Results
(19891, 7)	Viewed	Workspace	Results
(312, 8)	Viewed	Part	Results
(7040, 3)	Viewed	Workspace	Results
(11130, 3)	Viewed	Part	Results
(26905, 4)	Viewed	Workspace	Results
(31247, 10)	Viewed	Part	Results
(811, 7)	Viewed	Part	Results
(23560, 8)	Viewed	Workspace	Results
(11355, 42)	Viewed	Keyword	Results
(34186, 8)	Viewed	Workspace	Saved
(10272, 5)	Viewed	Part	Results
(42578, 14)	Viewed	Part	Results
(46699, 7)	Viewed	Workspace	Saved
(13452, 10)	Viewed	Keyword	Results
(22726, 4)	Viewed	Part	Results
